Date,Dividends
2019-03-14 00:00:00-04:00,0.176667
2019-05-09 00:00:00-04:00,0.176667
2019-08-08 00:00:00-04:00,0.176667
2019-12-05 00:00:00-05:00,0.176667
2020-03-19 00:00:00-04:00,0.18
2020-05-07 00:00:00-04:00,0.18
2020-08-13 00:00:00-04:00,0.18
2020-12-10 00:00:00-05:00,0.18
2021-03-18 00:00:00-04:00,0.183333
2021-05-06 00:00:00-04:00,0.183333
2021-08-12 00:00:00-04:00,0.183333
2021-12-09 00:00:00-05:00,0.183333
2022-03-17 00:00:00-04:00,0.186667
2022-05-05 00:00:00-04:00,0.186667
2022-08-11 00:00:00-04:00,0.186667
2022-12-08 00:00:00-05:00,0.186667
2023-03-16 00:00:00-04:00,0.19
2023-05-04 00:00:00-04:00,0.19
2023-08-10 00:00:00-04:00,0.19
2023-12-07 00:00:00-05:00,0.19
2024-03-14 00:00:00-04:00,0.208
2024-05-09 00:00:00-04:00,0.208
2024-08-16 00:00:00-04:00,0.208
2024-12-13 00:00:00-05:00,0.208
2025-03-21 00:00:00-04:00,0.235
